,일시,평균기온,최고기온,최저기온,일조합,일조율,일사합,평균풍속,최대풍속,최대풍속풍향,강수량,평균습도,최저습도
812,2017-03-23,10.0,13.5,8.0,1.8,14.8,7.13,2.0,6.3,50.0,6.4,68.1,45.0
813,2017-03-24,11.3,14.7,7.4,0.5,4.1,8.68,2.3,5.4,70.0,0.0,63.5,50.0
814,2017-03-25,9.9,11.5,8.3,0.0,0.0,3.01,2.7,8.4,20.0,2.9,80.9,67.0
815,2017-03-26,8.7,11.3,6.8,0.5,4.1,6.69,3.2,6.6,290.0,0.0,71.8,53.0
816,2017-03-27,10.2,12.7,8.2,7.0,56.5,17.62,4.9,7.0,290.0,0.0,61.0,49.0
817,2017-03-28,11.7,14.8,6.9,9.5,76.6,20.51,2.6,5.3,320.0,0.3,55.4,42.0
818,2017-03-29,14.4,17.9,11.0,4.7,37.9,14.89,3.2,7.9,230.0,0.0,77.9,51.0
819,2017-03-30,12.8,15.0,11.1,8.3,66.4,20.88,2.1,3.6,20.0,0.0,69.0,55.0
820,2017-03-31,10.7,12.9,9.4,0.1,0.8,5.08,3.2,7.7,50.0,13.4,78.3,67.0
821,2017-04-01,10.6,13.4,9.1,6.3,50.4,16.51,3.7,6.0,320.0,0.0,70.1,49.0
822,2017-04-02,12.0,16.1,8.8,8.6,68.3,21.32,2.7,4.8,290.0,0.0,47.8,27.0
823,2017-04-03,13.6,17.8,8.5,11.5,91.3,24.87,2.8,5.0,290.0,0.0,40.5,21.0
824,2017-04-04,14.5,18.2,10.5,9.3,73.8,21.14,1.9,4.3,50.0,0.0,57.6,40.0
825,2017-04-05,18.6,23.1,14.7,0.0,0.0,3.0,3.6,10.2,230.0,0.4,60.9,45.0
826,2017-04-06,16.6,20.2,14.1,0.0,0.0,2.34,3.8,9.8,200.0,17.4,90.3,69.0
827,2017-04-07,14.8,18.8,11.4,3.4,26.6,15.21,2.5,5.4,50.0,0.0,88.4,68.0
828,2017-04-08,14.4,18.4,11.3,7.1,55.5,19.6,3.0,5.6,290.0,0.0,86.3,71.0
829,2017-04-09,13.6,15.8,10.8,0.1,0.8,7.26,3.5,5.4,110.0,0.0,81.4,65.0
830,2017-04-10,13.4,14.6,12.3,0.0,0.0,2.97,4.2,6.5,90.0,3.9,82.9,69.0
831,2017-04-11,12.3,15.9,10.6,4.9,38.0,16.45,4.2,6.9,50.0,9.1,79.9,60.0
832,2017-04-12,13.5,17.2,11.4,9.4,72.9,22.43,2.8,5.2,320.0,0.0,43.3,23.0
833,2017-04-13,16.0,20.2,11.7,12.0,92.3,25.44,3.3,6.5,270.0,0.0,34.6,18.0
834,2017-04-14,18.3,24.1,11.6,11.7,90.0,25.57,4.1,10.7,200.0,0.0,45.8,26.0
835,2017-04-15,18.9,22.1,15.5,9.3,71.5,22.09,2.3,5.3,270.0,0.0,79.4,57.0
836,2017-04-16,16.6,21.8,14.0,8.6,66.2,23.42,1.9,4.8,270.0,0.0,89.6,70.0
837,2017-04-17,16.7,22.0,12.2,0.0,0.0,3.55,3.9,9.0,270.0,14.4,88.6,78.0
838,2017-04-18,16.2,25.0,12.3,9.4,71.8,21.78,4.4,10.3,270.0,0.0,73.1,39.0
839,2017-04-19,14.9,18.0,12.1,11.4,86.4,24.75,2.6,4.7,290.0,0.0,39.9,28.0
840,2017-04-20,15.0,18.2,13.3,0.6,4.5,10.5,1.9,4.8,50.0,0.0,61.1,33.0
841,2017-04-21,14.3,17.3,12.3,0.8,6.1,10.87,2.1,4.7,50.0,0.0,77.4,51.0
842,2017-04-22,13.9,17.4,11.0,11.6,87.9,24.52,2.5,5.2,20.0,0.0,73.5,51.0
843,2017-04-23,14.4,17.6,10.2,12.4,93.2,26.34,1.7,3.5,20.0,0.0,67.4,51.0
844,2017-04-24,17.2,22.0,12.0,12.5,94.0,27.2,2.3,4.8,50.0,0.0,51.3,32.0
845,2017-04-25,18.3,21.3,15.7,1.2,9.0,13.42,1.5,3.1,50.0,0.0,71.3,54.0
846,2017-04-26,15.6,18.4,13.6,1.1,8.2,9.77,1.9,4.5,50.0,6.2,78.3,49.0
847,2017-04-27,14.5,17.8,12.2,8.9,66.4,23.91,2.9,6.2,270.0,0.0,47.5,28.0
848,2017-04-28,18.4,21.8,14.1,12.4,92.5,26.97,4.8,7.5,250.0,0.0,43.1,24.0
849,2017-04-29,19.6,24.1,15.5,12.2,90.4,26.82,3.5,7.7,250.0,0.0,52.4,16.0
850,2017-04-30,24.5,27.6,20.2,12.1,89.6,25.74,5.9,9.4,250.0,0.0,27.3,18.0
851,2017-05-01,18.2,23.1,15.1,9.3,68.9,21.42,3.7,6.7,270.0,0.0,72.8,28.0
852,2017-05-02,18.1,21.5,16.5,3.4,25.2,16.06,4.0,6.9,70.0,0.0,72.1,50.0
853,2017-05-03,19.7,25.3,15.5,11.8,86.8,25.32,3.5,7.2,50.0,0.0,67.5,40.0
854,2017-05-04,20.8,26.9,16.7,9.2,67.6,22.83,3.1,7.1,140.0,5.8,71.5,47.0
855,2017-05-05,20.5,25.1,17.1,2.5,18.4,15.64,3.0,6.6,270.0,0.3,84.6,67.0
856,2017-05-06,16.7,20.3,15.2,6.5,47.4,21.6,2.5,4.9,320.0,0.0,52.9,28.0
857,2017-05-07,20.0,24.4,14.7,11.9,86.9,27.84,3.2,5.9,270.0,0.0,25.6,11.0
858,2017-05-08,18.6,22.1,16.5,3.7,27.0,13.23,1.9,7.1,140.0,0.8,35.0,14.0
859,2017-05-09,16.3,19.4,14.2,0.3,2.2,7.48,4.5,8.9,110.0,4.3,82.3,61.0
860,2017-05-10,15.8,18.6,14.2,4.8,34.8,15.53,3.8,6.7,270.0,1.5,85.5,67.0
861,2017-05-11,23.7,28.1,15.1,8.6,62.3,23.96,4.1,9.0,250.0,0.0,59.6,42.0
862,2017-05-12,17.9,20.7,15.6,0.0,0.0,4.35,2.7,10.6,20.0,25.3,91.9,60.0
863,2017-05-13,18.7,23.1,15.1,10.7,77.0,26.11,2.4,6.3,270.0,0.0,78.3,50.0
864,2017-05-14,17.2,23.2,13.7,11.5,82.7,28.73,2.6,5.0,290.0,0.0,68.4,20.0
865,2017-05-15,17.5,21.3,14.5,11.1,79.9,24.77,2.2,3.9,340.0,0.0,39.3,24.0
866,2017-05-16,17.8,20.3,15.0,4.4,31.7,19.81,2.2,4.7,290.0,0.0,56.5,31.0
867,2017-05-17,18.9,21.4,15.6,13.0,92.9,28.6,2.7,4.4,270.0,0.0,53.3,41.0
868,2017-05-18,20.0,23.6,16.0,13.1,93.6,28.79,2.0,3.9,290.0,0.0,47.4,33.0
869,2017-05-19,20.2,24.3,16.9,12.7,90.7,28.04,1.7,3.6,340.0,0.0,57.0,34.0
870,2017-05-20,20.2,23.7,17.7,5.9,42.1,20.37,1.6,3.2,50.0,0.0,53.3,36.0
871,2017-05-21,21.8,27.8,17.8,5.2,37.1,18.54,1.6,4.3,140.0,0.0,62.9,42.0
872,2017-05-22,22.0,27.5,17.6,11.9,84.4,26.39,2.3,6.5,50.0,0.0,66.4,40.0
873,2017-05-23,20.9,26.6,18.1,5.1,36.2,18.92,1.5,3.7,340.0,0.0,74.3,51.0
874,2017-05-24,20.0,23.2,18.2,1.7,12.1,14.6,1.8,4.9,50.0,0.5,89.1,79.0
875,2017-05-25,20.0,25.1,16.3,10.9,77.3,24.15,2.9,5.9,290.0,0.0,68.4,20.0
876,2017-05-26,17.5,21.4,14.8,13.5,95.7,30.59,3.6,5.8,290.0,0.0,57.4,44.0
877,2017-05-27,17.8,21.5,13.6,13.0,91.5,29.95,2.2,3.6,20.0,0.0,51.9,43.0
878,2017-05-28,20.6,23.3,16.8,12.5,88.0,26.42,1.8,4.0,50.0,0.0,54.5,30.0
879,2017-05-29,22.8,27.1,18.3,12.7,89.4,28.02,2.0,5.7,290.0,0.0,46.1,24.0
880,2017-05-30,22.6,26.8,19.4,9.5,66.9,23.7,1.9,4.9,290.0,0.0,63.1,25.0
881,2017-05-31,21.9,26.3,18.5,6.0,42.3,20.35,1.7,4.2,50.0,0.0,79.6,62.0
882,2017-06-01,21.2,25.4,18.3,1.7,12.0,16.45,2.8,6.0,250.0,0.0,80.3,62.0
883,2017-06-02,20.2,25.6,17.2,12.8,90.1,29.71,2.4,4.3,340.0,0.0,63.1,37.0
884,2017-06-03,20.4,24.1,17.5,10.5,73.4,25.53,2.3,4.4,290.0,0.0,53.9,38.0
885,2017-06-04,20.3,23.0,16.7,13.2,92.3,29.59,2.5,5.6,20.0,0.0,56.6,43.0
886,2017-06-05,21.9,27.1,19.4,8.1,56.6,23.35,3.2,7.8,50.0,0.0,58.4,35.0
887,2017-06-06,20.9,24.9,18.9,0.0,0.0,4.85,3.3,8.2,70.0,3.9,80.5,65.0
888,2017-06-07,19.9,25.1,17.9,2.0,14.0,16.74,4.6,7.3,290.0,1.2,84.9,68.0
889,2017-06-08,20.4,24.8,17.5,11.0,76.9,28.93,3.3,5.7,290.0,0.0,70.1,50.0
890,2017-06-09,23.4,26.9,18.9,9.1,63.6,26.51,3.1,6.0,290.0,0.0,54.9,37.0
891,2017-06-10,22.9,25.7,20.4,0.2,1.4,13.63,2.3,4.8,50.0,0.9,75.6,51.0
892,2017-06-11,21.6,26.2,19.9,3.6,25.0,17.45,2.1,4.9,290.0,0.0,85.4,62.0
893,2017-06-12,20.5,23.3,18.9,2.1,14.6,13.64,3.9,7.5,70.0,0.0,79.3,62.0
894,2017-06-13,19.1,21.3,17.7,9.2,63.9,23.08,3.9,8.0,70.0,0.0,82.9,74.0
895,2017-06-14,20.1,24.8,17.3,12.9,89.6,29.45,2.2,4.8,270.0,0.0,69.9,50.0
896,2017-06-15,21.9,26.2,17.8,11.0,76.4,26.82,2.8,4.8,290.0,0.0,59.6,36.0
897,2017-06-16,22.2,24.7,20.5,11.9,82.6,27.43,2.9,7.0,50.0,0.0,73.8,40.0
898,2017-06-17,21.7,25.1,19.3,12.1,84.0,27.26,3.4,7.8,50.0,0.0,81.1,66.0
899,2017-06-18,23.0,28.0,20.2,12.2,84.7,27.65,2.2,4.3,290.0,0.0,70.0,36.0
900,2017-06-19,23.4,26.0,20.9,9.7,67.4,24.08,1.6,3.1,320.0,0.0,70.1,59.0
901,2017-06-20,22.3,24.4,19.6,0.0,0.0,4.17,2.6,6.1,70.0,11.7,84.4,59.0
902,2017-06-21,22.3,25.8,19.7,6.2,43.1,19.75,1.9,4.1,320.0,0.0,85.9,70.0
903,2017-06-22,23.1,26.6,20.8,7.5,52.1,24.49,1.6,4.2,50.0,0.0,81.9,64.0
904,2017-06-23,23.1,25.8,21.2,1.8,12.5,16.14,1.7,4.1,20.0,0.0,83.3,70.0
905,2017-06-24,22.5,24.5,21.2,1.5,10.4,11.93,1.9,5.4,50.0,2.2,88.0,73.0
906,2017-06-25,23.4,25.8,21.1,0.4,2.8,11.89,1.1,3.4,340.0,0.0,84.5,66.0
907,2017-06-26,23.4,26.4,21.6,0.6,4.2,12.38,1.0,2.8,20.0,0.0,88.1,75.0
908,2017-06-27,23.2,25.5,21.6,0.6,4.2,15.86,1.6,5.4,50.0,1.0,91.4,80.0
909,2017-06-28,24.1,26.4,21.0,1.4,9.7,13.94,1.5,4.5,50.0,0.0,81.1,71.0
910,2017-06-29,22.1,23.2,21.0,0.0,0.0,2.34,2.1,5.3,50.0,39.8,95.5,88.0
911,2017-06-30,24.0,26.8,21.9,4.3,29.9,19.87,1.7,4.3,20.0,0.0,90.8,81.0
912,2017-07-01,26.6,28.9,23.1,6.5,45.5,19.73,2.0,5.1,50.0,0.0,82.1,70.0
913,2017-07-02,30.3,34.7,24.8,8.9,62.2,25.69,3.7,7.5,230.0,0.0,64.5,50.0
914,2017-07-03,28.9,33.4,26.1,5.0,35.0,17.86,3.8,7.7,230.0,0.0,70.0,51.0
915,2017-07-04,28.9,33.9,25.5,8.5,59.4,24.87,3.1,6.6,290.0,0.0,77.5,54.0
916,2017-07-05,28.2,31.9,26.1,5.2,36.4,19.35,2.2,4.8,20.0,0.7,82.0,61.0
917,2017-07-06,27.9,32.9,26.0,2.3,16.1,16.44,2.0,4.9,250.0,0.0,82.6,57.0
918,2017-07-07,29.2,31.6,25.6,5.3,37.1,21.59,2.4,5.0,50.0,0.0,74.4,62.0
919,2017-07-08,28.2,32.0,24.0,0.9,6.3,11.76,2.5,5.8,50.0,0.0,78.3,68.0
920,2017-07-09,28.2,30.2,26.1,6.3,44.1,20.68,2.4,5.6,230.0,0.0,80.1,66.0
921,2017-07-10,30.3,34.1,27.5,4.7,33.1,21.69,6.2,9.7,230.0,0.0,69.0,58.0
922,2017-07-11,26.0,28.3,24.2,0.4,2.8,7.89,2.3,7.4,250.0,24.8,88.9,68.0
923,2017-07-12,26.8,29.3,24.6,10.7,75.4,25.8,1.6,3.0,20.0,0.0,83.6,70.0
924,2017-07-13,27.4,30.8,24.8,5.0,35.2,10.08,1.7,4.0,50.0,0.0,76.9,59.0
925,2017-07-14,28.8,30.7,26.0,8.3,58.5,22.51,2.2,5.2,20.0,0.0,79.4,66.0
926,2017-07-15,29.2,32.5,27.4,8.0,56.3,19.57,2.4,5.5,20.0,0.0,76.5,62.0
927,2017-07-16,30.0,35.5,27.1,10.0,70.4,24.71,2.7,6.0,250.0,0.0,71.3,47.0
928,2017-07-17,30.8,34.5,28.1,6.2,44.0,20.29,3.4,7.6,250.0,0.0,63.1,50.0
929,2017-07-18,29.2,31.3,26.7,0.0,0.0,7.21,3.0,8.2,250.0,7.9,75.3,56.0
930,2017-07-19,29.1,32.3,26.3,9.6,68.1,24.67,2.0,3.7,20.0,0.0,83.3,68.0
931,2017-07-20,31.1,34.8,27.9,10.0,70.9,23.1,1.9,5.2,290.0,0.0,69.8,52.0
932,2017-07-21,32.1,37.0,28.6,12.5,88.7,26.48,2.3,6.2,290.0,0.0,65.6,49.0
933,2017-07-22,30.1,34.2,27.9,11.4,81.4,26.66,2.4,6.3,290.0,0.0,78.3,63.0
934,2017-07-23,31.0,33.9,28.2,5.2,37.1,19.09,2.5,6.3,290.0,0.0,71.3,53.0
935,2017-07-24,31.8,34.9,29.4,10.3,73.6,25.32,2.9,7.2,290.0,0.0,64.9,53.0
936,2017-07-25,30.7,34.4,27.9,7.9,56.4,22.46,3.0,6.9,290.0,0.0,72.4,48.0
937,2017-07-26,26.8,28.8,25.5,0.0,0.0,3.07,3.3,5.4,70.0,0.0,86.6,80.0
938,2017-07-27,28.3,31.9,26.1,10.5,75.5,24.97,3.4,6.7,50.0,0.0,79.4,66.0
939,2017-07-28,28.7,32.0,25.2,11.2,80.6,24.66,2.1,5.3,50.0,0.0,79.4,64.0
940,2017-07-29,29.2,32.0,27.6,7.3,52.5,22.4,2.4,4.8,20.0,0.0,81.6,69.0
941,2017-07-30,30.6,34.0,27.7,5.9,42.4,18.93,2.8,5.5,110.0,0.0,72.0,60.0
942,2017-07-31,30.6,36.3,28.2,4.8,34.8,17.67,2.4,6.6,20.0,1.8,73.4,55.0
943,2017-08-01,31.0,35.7,28.3,7.7,55.8,21.04,2.7,7.3,50.0,0.0,74.3,55.0
944,2017-08-02,29.6,32.9,28.2,12.1,87.7,25.43,4.0,8.5,50.0,0.0,74.8,63.0
945,2017-08-03,30.5,35.3,26.8,10.4,75.9,24.11,3.5,5.9,90.0,0.0,69.1,50.0
946,2017-08-04,29.7,32.5,28.1,10.1,73.7,25.34,3.7,7.1,50.0,0.0,84.4,72.0
947,2017-08-05,29.9,32.7,28.4,9.1,66.4,24.0,3.6,7.5,50.0,0.0,83.6,72.0
948,2017-08-06,30.2,33.1,28.7,7.6,55.5,21.33,3.4,6.0,50.0,0.0,77.4,60.0
949,2017-08-07,30.9,34.0,28.6,10.5,76.6,24.2,3.3,5.3,270.0,0.0,73.4,52.0
950,2017-08-08,29.5,32.8,24.7,0.7,5.1,8.6,1.9,7.2,20.0,58.7,75.5,48.0
951,2017-08-09,29.2,31.8,26.0,2.5,18.4,12.63,4.2,7.9,270.0,11.8,79.5,64.0
952,2017-08-10,28.7,32.0,27.2,5.6,41.2,19.52,2.1,4.0,360.0,0.0,75.6,64.0
953,2017-08-11,28.8,31.6,26.5,11.5,85.2,24.7,1.7,3.3,20.0,0.0,70.1,62.0
954,2017-08-12,28.7,32.7,26.6,6.0,44.4,18.51,2.8,6.7,50.0,0.0,71.6,59.0
955,2017-08-13,27.7,30.0,26.8,0.0,0.0,8.04,4.0,6.6,110.0,0.5,74.8,61.0
956,2017-08-14,28.7,32.5,25.2,0.7,5.2,9.89,2.9,5.7,250.0,50.9,85.1,67.0
957,2017-08-15,28.9,32.8,27.3,6.3,47.0,18.35,3.2,6.3,290.0,1.2,80.5,65.0
958,2017-08-16,28.3,31.2,26.2,9.5,70.9,23.61,3.4,5.5,290.0,0.0,73.1,62.0
959,2017-08-17,27.7,30.6,25.2,8.3,61.9,21.84,2.4,4.9,360.0,2.3,74.9,61.0
960,2017-08-18,27.2,29.7,24.6,7.0,52.6,19.2,2.0,3.9,20.0,0.0,72.9,65.0
961,2017-08-19,27.6,33.0,25.3,4.2,31.6,10.68,2.0,4.6,50.0,2.9,76.6,56.0
962,2017-08-20,28.9,33.3,25.9,7.3,54.9,18.36,2.2,5.2,20.0,3.1,75.8,58.0
963,2017-08-21,28.0,31.7,23.9,5.5,41.7,18.32,2.5,4.9,20.0,27.4,84.0,73.0
964,2017-08-22,30.0,32.8,26.8,9.7,73.5,22.92,1.9,4.2,20.0,0.1,80.1,68.0
965,2017-08-23,30.7,33.1,28.0,9.7,73.5,22.52,2.3,6.5,50.0,0.0,77.4,66.0
966,2017-08-24,31.5,35.7,28.5,12.2,93.1,24.96,3.8,8.2,250.0,0.0,69.4,52.0
967,2017-08-25,29.6,32.5,27.9,6.4,48.9,19.12,3.7,7.0,290.0,0.6,79.5,66.0
968,2017-08-26,27.2,29.8,24.4,9.9,75.6,24.03,2.2,4.9,360.0,0.0,54.9,37.0
969,2017-08-27,26.6,29.7,22.7,12.1,93.1,24.25,3.0,7.1,50.0,0.0,60.6,38.0
970,2017-08-28,28.8,33.5,24.6,12.0,92.3,24.22,2.3,6.3,290.0,0.0,65.9,54.0
971,2017-08-29,26.6,28.9,23.3,7.2,55.4,18.09,2.9,4.9,360.0,0.0,64.1,42.0
972,2017-08-30,24.2,26.7,22.1,5.8,45.0,19.17,2.6,6.9,20.0,0.0,57.8,49.0
973,2017-08-31,24.3,27.4,22.7,9.7,75.2,22.24,2.0,3.6,20.0,0.0,66.6,50.0
974,2017-09-01,25.1,27.6,23.3,10.1,78.3,23.62,2.6,6.4,50.0,0.0,67.3,54.0
975,2017-09-02,23.5,25.8,21.9,5.7,44.5,15.79,2.6,6.1,50.0,0.0,63.9,57.0
976,2017-09-03,24.4,26.8,21.9,7.0,54.7,20.09,2.7,6.8,50.0,0.0,66.3,54.0
977,2017-09-04,24.5,26.0,23.6,0.0,0.0,5.39,2.6,5.9,50.0,3.2,81.3,66.0
978,2017-09-05,25.9,28.5,23.0,0.1,0.8,8.87,2.3,5.6,110.0,2.2,84.3,73.0
979,2017-09-06,27.9,32.1,24.5,4.3,33.9,15.44,3.3,7.2,290.0,19.7,76.3,60.0
980,2017-09-07,22.7,24.6,20.3,0.0,0.0,6.18,2.1,4.8,360.0,35.9,86.6,74.0
981,2017-09-08,23.7,27.1,21.2,9.7,77.0,22.85,2.1,3.7,360.0,0.0,74.3,65.0
982,2017-09-09,24.7,27.9,21.0,4.5,35.7,16.76,2.4,5.0,50.0,0.0,69.4,60.0
983,2017-09-10,25.9,30.3,22.2,6.3,50.0,17.95,2.7,8.1,50.0,0.0,68.4,56.0
984,2017-09-11,25.3,29.1,22.6,0.3,2.4,7.51,4.1,7.4,200.0,21.3,85.3,72.0
985,2017-09-12,24.5,27.6,22.3,10.4,83.2,22.58,2.6,3.8,270.0,0.0,74.4,63.0
986,2017-09-13,23.9,27.3,19.7,11.3,90.4,22.94,1.8,3.7,20.0,0.0,53.0,39.0
987,2017-09-14,24.2,26.7,21.8,3.8,30.6,14.07,3.5,7.0,50.0,0.0,70.9,57.0
988,2017-09-15,23.7,25.0,23.0,0.0,0.0,5.03,4.8,7.3,70.0,0.0,66.9,61.0
989,2017-09-16,23.3,23.5,22.7,0.0,0.0,2.14,5.5,8.2,70.0,0.2,76.0,67.0
990,2017-09-17,23.3,26.3,21.6,2.2,17.9,8.78,4.0,8.7,20.0,0.1,76.9,69.0
991,2017-09-18,23.5,26.9,20.5,10.2,82.9,20.94,2.3,4.5,290.0,0.0,72.5,55.0
992,2017-09-19,24.9,29.9,21.8,3.2,26.0,12.14,2.3,6.1,250.0,0.0,61.5,29.0
993,2017-09-20,23.9,26.2,21.5,0.0,0.0,5.47,2.8,4.8,270.0,0.0,69.5,45.0
994,2017-09-21,21.9,24.6,19.0,4.2,34.4,14.4,1.9,4.4,20.0,0.0,66.9,48.0
995,2017-09-22,23.6,28.1,21.6,5.2,42.6,13.6,2.1,5.8,20.0,0.0,73.0,59.0
996,2017-09-23,22.5,26.6,20.6,3.1,25.6,8.63,1.5,3.1,20.0,0.0,72.8,48.0
997,2017-09-24,23.7,29.2,20.4,6.2,51.2,16.06,2.3,5.8,50.0,0.0,67.0,37.0
998,2017-09-25,24.9,28.5,21.9,4.9,40.5,14.01,3.0,6.1,110.0,0.0,67.9,43.0
999,2017-09-26,25.8,29.6,23.9,2.0,16.7,12.99,4.0,7.2,110.0,0.4,75.6,60.0
1000,2017-09-27,23.5,25.6,21.4,0.0,0.0,2.87,3.8,6.7,250.0,0.4,89.4,82.0
1001,2017-09-28,22.9,26.2,21.0,6.0,50.0,15.61,3.8,5.7,20.0,0.0,71.9,44.0
1002,2017-09-29,20.8,24.2,18.5,9.5,79.8,20.7,2.6,5.1,360.0,0.0,51.6,30.0
1003,2017-09-30,22.6,28.2,18.0,10.7,89.9,20.6,3.0,6.5,50.0,0.0,48.3,13.0
1004,2017-10-01,23.2,27.0,19.9,0.0,0.0,1.96,3.7,9.5,200.0,38.4,65.6,17.0
1005,2017-10-02,22.6,26.2,21.1,0.3,2.5,4.21,3.7,9.5,200.0,67.5,93.4,76.0
1006,2017-10-03,21.4,24.0,19.4,5.4,45.8,14.27,3.1,5.0,360.0,0.2,75.9,59.0
1007,2017-10-04,20.9,23.1,19.1,1.0,8.5,7.26,2.7,6.7,50.0,0.0,70.6,63.0
1008,2017-10-05,20.7,22.5,17.1,0.0,0.0,4.89,2.8,5.7,110.0,8.4,68.6,56.0
1009,2017-10-06,20.7,23.1,17.0,0.0,0.0,3.62,3.1,5.8,20.0,10.6,94.5,88.0
1010,2017-10-07,21.3,22.9,20.4,6.5,55.6,14.75,2.4,4.9,360.0,0.0,80.4,68.0
1011,2017-10-08,22.8,25.2,19.7,9.5,81.9,17.75,2.9,6.9,50.0,0.0,78.1,62.0
1012,2017-10-09,23.4,25.9,19.7,10.2,87.9,18.44,2.4,5.5,50.0,0.0,80.1,64.0
1013,2017-10-10,24.2,27.4,21.7,9.8,85.2,18.06,1.8,4.2,20.0,0.0,73.3,58.0
1014,2017-10-11,20.9,25.7,18.1,0.6,5.2,4.58,2.4,5.3,360.0,0.0,78.1,62.0
1015,2017-10-12,17.5,18.7,15.7,0.0,0.0,2.46,2.3,5.1,20.0,0.8,77.6,64.0
1016,2017-10-13,17.6,19.8,15.2,6.6,57.9,15.79,2.8,5.0,20.0,0.0,53.5,31.0
1017,2017-10-14,18.6,20.4,17.1,0.0,0.0,4.28,3.1,6.3,70.0,0.8,67.3,45.0
1018,2017-10-15,18.1,20.1,16.0,0.0,0.0,4.59,5.0,8.0,70.0,20.0,83.1,55.0
1019,2017-10-16,18.0,20.3,16.7,0.0,0.0,2.73,3.8,7.3,50.0,15.3,83.9,67.0
1020,2017-10-17,19.7,20.7,17.2,0.0,0.0,6.57,3.8,5.9,70.0,0.0,71.4,62.0
1021,2017-10-18,19.5,20.4,19.0,0.0,0.0,1.97,4.6,8.1,70.0,0.0,71.1,62.0
1022,2017-10-19,18.6,20.3,16.4,0.1,0.9,6.79,2.4,4.7,70.0,0.0,70.5,63.0
1023,2017-10-20,19.2,22.1,16.0,6.7,59.8,15.13,2.8,6.3,20.0,0.0,73.1,60.0
1024,2017-10-21,19.7,22.0,17.9,10.0,89.3,17.34,4.5,7.6,50.0,0.0,63.3,49.0
1025,2017-10-22,19.8,21.4,18.7,6.9,62.2,14.76,5.2,8.3,20.0,0.0,58.3,47.0
1026,2017-10-23,17.9,20.4,15.5,7.2,64.9,15.01,2.7,5.4,50.0,0.0,55.0,46.0
1027,2017-10-24,17.5,21.0,14.3,5.6,50.5,12.18,2.0,4.0,20.0,0.0,62.0,46.0
1028,2017-10-25,16.3,19.6,13.6,10.0,90.1,16.65,2.1,4.0,360.0,0.0,61.6,47.0
1029,2017-10-26,17.2,21.0,12.9,8.9,80.9,15.86,2.5,5.8,50.0,0.0,68.5,55.0
1030,2017-10-27,18.4,21.0,15.6,6.0,54.5,13.23,2.3,5.4,50.0,0.0,74.3,64.0
1031,2017-10-28,19.7,20.5,17.8,0.0,0.0,1.67,4.1,7.2,50.0,0.0,77.6,71.0
1032,2017-10-29,16.8,20.5,13.3,4.3,39.4,9.17,6.9,10.4,320.0,0.0,66.9,53.0
1033,2017-10-30,13.2,16.2,10.6,7.3,67.0,13.76,4.1,8.4,340.0,0.0,56.9,45.0
1034,2017-10-31,13.4,17.6,9.8,10.0,91.7,16.29,2.0,3.4,360.0,0.0,60.9,47.0
1035,2017-11-01,14.1,18.5,10.8,7.7,71.3,14.1,2.2,3.8,360.0,0.0,68.0,56.0
1036,2017-11-02,15.6,19.6,12.2,7.9,73.1,14.35,2.1,3.4,180.0,0.0,66.3,56.0
1037,2017-11-03,16.1,21.2,12.9,4.7,43.5,10.1,3.2,8.0,360.0,0.0,66.1,56.0
1038,2017-11-04,11.7,13.8,8.9,3.4,31.5,9.12,4.4,9.0,360.0,0.0,54.8,45.0
1039,2017-11-05,11.8,15.5,8.7,9.3,86.9,15.36,1.9,3.4,180.0,0.0,59.8,46.0
1040,2017-11-06,15.8,19.8,10.1,8.2,76.6,13.26,2.5,4.8,20.0,0.0,71.8,46.0
1041,2017-11-07,19.8,23.8,15.7,0.5,4.7,6.33,1.3,4.4,270.0,0.1,76.4,62.0
1042,2017-11-08,17.0,20.5,12.5,4.4,41.5,9.93,3.5,5.8,270.0,0.0,75.4,54.0
1043,2017-11-09,14.4,19.0,10.1,9.7,91.5,14.86,2.3,4.8,50.0,0.0,63.9,49.0
1044,2017-11-10,17.2,24.2,12.8,7.7,72.6,13.01,3.6,7.7,250.0,0.0,65.6,46.0
1045,2017-11-11,12.2,14.5,10.5,7.7,72.6,13.08,3.6,7.1,20.0,0.0,55.8,48.0
1046,2017-11-12,11.7,14.9,8.0,4.9,46.7,9.99,1.9,3.2,20.0,0.0,66.1,53.0
1047,2017-11-13,13.2,17.1,9.4,2.8,26.7,7.38,1.9,4.6,360.0,0.0,70.8,61.0
1048,2017-11-14,14.8,17.3,12.1,7.7,73.3,12.46,2.9,5.5,20.0,0.0,55.0,37.0
1049,2017-11-15,12.6,15.3,11.1,7.8,75.0,12.28,3.4,5.4,290.0,0.0,51.6,40.0
1050,2017-11-16,11.0,13.7,8.8,7.8,75.0,11.8,2.2,4.8,50.0,0.0,59.0,50.0
1051,2017-11-17,12.8,15.8,8.9,0.0,0.0,3.02,2.1,6.8,20.0,0.9,64.4,37.0
1052,2017-11-18,7.9,14.4,5.9,1.1,10.6,5.11,6.4,10.1,360.0,0.1,65.3,54.0
1053,2017-11-19,8.0,9.8,6.5,6.8,66.0,11.93,4.0,8.9,20.0,0.0,54.3,32.0
1054,2017-11-20,9.7,13.1,7.6,3.9,37.9,9.7,2.8,5.8,20.0,2.3,61.3,46.0
