,일시,평균기온,최고기온,최저기온,일조합,일조율,일사합,평균풍속,최대풍속,최대풍속풍향,강수량,평균습도,최저습도
83,2015-03-25,8.6,12.9,4.3,11.1,90.2,22.9,2.0,3.0,20.0,0.0,47.3,32.0
84,2015-03-26,9.8,14.5,5.1,9.9,80.5,21.13,2.1,3.6,20.0,0.0,50.1,27.0
85,2015-03-27,10.9,13.9,7.5,0.0,0.0,9.25,1.4,3.0,320.0,0.0,64.6,48.0
86,2015-03-28,12.8,15.7,10.2,6.6,53.2,15.36,1.5,3.5,320.0,0.0,70.8,50.0
87,2015-03-29,13.5,16.7,10.3,4.7,37.9,14.93,1.9,4.3,290.0,0.0,80.3,60.0
88,2015-03-30,14.0,17.9,10.7,4.1,32.8,14.83,1.5,4.3,20.0,0.0,88.0,74.0
89,2015-03-31,18.1,22.2,14.9,0.7,5.6,7.12,1.2,3.3,20.0,0.7,80.5,67.0
90,2015-04-01,15.4,19.0,14.0,3.4,27.2,13.7,3.0,6.2,70.0,0.0,90.5,78.0
91,2015-04-02,20.2,27.7,14.0,5.3,42.1,14.89,6.6,13.4,200.0,0.9,75.4,54.0
92,2015-04-03,12.6,22.1,10.0,0.5,4.0,8.38,4.1,9.1,200.0,7.8,87.4,74.0
93,2015-04-04,14.4,17.4,10.0,0.7,5.6,7.43,4.6,9.0,50.0,10.5,87.6,76.0
94,2015-04-05,13.2,14.4,12.3,0.1,0.8,5.22,2.3,4.7,270.0,3.9,94.0,88.0
95,2015-04-06,12.1,13.3,10.0,0.0,0.0,1.45,2.9,7.1,20.0,36.6,91.4,70.0
96,2015-04-07,10.3,12.6,8.7,0.5,3.9,9.09,2.5,6.5,20.0,0.0,72.9,59.0
97,2015-04-08,11.0,14.4,8.8,3.3,25.8,14.35,3.0,6.2,20.0,0.0,71.4,59.0
98,2015-04-09,12.1,14.5,9.3,10.3,80.5,23.82,3.0,7.0,50.0,0.0,65.1,55.0
99,2015-04-10,12.8,15.2,10.6,11.2,87.5,23.57,2.4,4.4,20.0,0.0,69.5,60.0
100,2015-04-11,13.5,17.6,9.5,11.8,91.5,24.21,2.8,6.5,50.0,0.0,63.8,28.0
101,2015-04-12,13.5,18.4,11.7,1.2,9.3,9.25,3.4,6.8,50.0,15.6,84.6,65.0
102,2015-04-13,12.1,14.5,8.9,0.2,1.6,4.83,3.0,6.0,250.0,15.1,86.6,76.0
103,2015-04-14,10.1,14.2,7.0,3.5,26.9,11.08,3.6,5.6,290.0,2.5,72.0,45.0
104,2015-04-15,15.6,20.3,10.1,10.7,82.3,21.38,4.7,7.7,270.0,0.0,54.8,27.0
105,2015-04-16,17.3,24.9,13.1,5.7,43.8,17.87,3.0,9.6,270.0,0.0,42.8,23.0
106,2015-04-17,14.1,18.0,10.1,11.8,90.1,25.72,2.5,6.7,50.0,0.0,42.3,14.0
107,2015-04-18,17.9,24.1,13.0,2.4,18.3,9.6,2.0,5.9,180.0,27.9,65.4,33.0
108,2015-04-19,18.5,23.9,15.5,1.8,13.7,10.44,2.8,6.4,200.0,10.3,85.0,62.0
109,2015-04-20,12.9,15.5,12.0,0.0,0.0,3.61,3.1,5.7,270.0,2.9,94.8,91.0
110,2015-04-21,14.2,17.5,12.5,10.2,77.3,25.98,2.0,3.3,20.0,0.0,76.8,48.0
111,2015-04-22,15.5,21.2,11.1,11.8,89.4,25.86,3.2,8.1,270.0,0.0,45.4,15.0
112,2015-04-23,15.5,19.2,11.8,11.0,82.7,22.0,1.7,3.9,290.0,0.0,63.5,37.0
113,2015-04-24,17.3,22.0,13.4,6.6,49.6,18.62,2.7,6.2,270.0,0.0,51.1,23.0
114,2015-04-25,17.2,23.6,13.6,12.6,94.7,27.39,1.9,4.8,20.0,0.0,54.4,22.0
115,2015-04-26,18.8,23.1,14.1,12.3,92.5,26.78,1.8,4.4,270.0,0.0,37.8,23.0
116,2015-04-27,19.5,23.1,14.9,11.5,85.8,25.94,1.6,3.7,20.0,0.0,43.0,24.0
117,2015-04-28,20.7,25.3,17.9,2.5,18.7,13.5,3.1,8.3,140.0,1.0,70.5,52.0
118,2015-04-29,17.7,22.1,15.4,0.5,3.7,7.12,2.3,6.8,250.0,3.8,90.0,72.0
119,2015-04-30,16.4,18.2,15.3,0.0,0.0,4.48,2.8,5.2,50.0,9.1,92.4,84.0
120,2015-05-01,18.0,21.4,15.5,5.2,38.5,19.29,2.4,5.9,50.0,0.0,84.8,71.0
121,2015-05-02,18.3,23.2,14.5,6.0,44.4,20.57,1.8,5.2,140.0,24.8,87.6,63.0
122,2015-05-03,18.1,22.0,14.8,3.5,25.7,14.23,2.6,5.9,290.0,6.7,91.0,78.0
123,2015-05-04,16.5,21.7,13.3,9.9,72.8,26.11,3.8,6.1,270.0,0.0,68.1,42.0
124,2015-05-05,14.8,18.5,11.0,12.3,90.4,29.6,2.2,4.2,290.0,0.0,48.5,33.0
125,2015-05-06,15.3,17.8,13.2,0.7,5.1,6.79,1.6,4.5,20.0,0.0,49.5,28.0
