,평균기온,일사합,평균풍속,최저습도,강수량,연간지수,전력수요총합
153,21.6,22.89,1.7,49.0,0.0,0,13018.700000000003
154,22.8,21.74,1.6,52.0,0.0,0,13889.400000000001
155,19.8,4.26,2.5,71.0,28.5,0,13879.0
156,20.7,19.67,1.8,72.0,0.0,0,13321.0
157,21.3,27.65,1.8,68.0,0.0,0,13863.400000000001
158,20.9,20.93,2.4,63.0,0.0,0,13846.099999999997
159,22.2,25.04,3.4,56.0,0.0,0,13409.3
160,19.9,3.7,3.5,78.0,2.1,0,12910.3
161,19.4,14.39,2.4,76.0,23.9,0,13633.200000000003
162,21.1,26.66,2.4,63.0,3.1,0,13663.199999999997
163,21.9,28.81,2.7,50.0,0.0,0,13310.800000000001
164,22.1,26.7,4.1,65.0,0.0,0,13849.8
165,21.1,20.94,3.9,58.0,0.0,0,13822.600000000004
166,20.3,19.37,3.7,57.0,0.0,0,13225.000000000004
167,20.8,23.33,3.5,67.0,0.0,0,12980.300000000001
168,22.0,16.54,1.6,67.0,0.0,0,14036.899999999998
169,22.0,6.95,1.3,71.0,31.3,0,14282.699999999999
170,21.9,21.45,2.2,68.0,1.0,0,14223.799999999997
171,22.7,28.47,2.2,59.0,0.0,0,14357.900000000001
172,22.8,14.5,2.4,47.0,0.3,0,14359.3
173,22.7,24.87,2.7,62.0,1.4,0,13656.2
174,23.9,28.54,2.7,52.0,0.0,0,13501.800000000001
175,24.0,26.96,1.6,62.0,0.0,0,14621.6
176,28.2,21.04,4.9,56.0,0.0,0,15789.799999999997
177,26.3,4.03,5.0,62.0,17.3,0,15784.500000000002
178,25.7,3.51,3.9,64.0,44.0,0,15498.100000000002
179,25.2,15.63,2.7,69.0,10.4,0,15425.899999999998
180,24.0,4.67,1.9,75.0,47.8,0,14611.1
181,27.3,10.7,3.0,69.0,7.5,0,14359.6
182,27.3,13.0,3.4,57.0,0.0,0,15527.400000000001
183,24.1,5.49,4.8,86.0,1.6,0,14834.8
184,26.0,24.99,2.6,65.0,0.0,0,15598.799999999997
185,24.8,8.63,2.4,80.0,0.0,0,15595.000000000002
186,22.7,2.56,3.2,85.0,38.1,0,15113.100000000002
187,21.3,5.72,4.0,77.0,0.0,0,13800.400000000001
188,20.9,9.35,3.8,89.0,1.3,0,13366.2
189,24.6,18.02,2.7,74.0,0.1,0,15116.4
190,28.3,24.33,3.6,57.0,0.0,0,16208.6
191,30.0,25.33,2.8,50.0,0.0,0,17047.8
192,28.0,28.07,1.8,70.0,0.0,0,17306.9
193,26.7,21.61,1.9,78.0,0.0,0,17263.2
194,26.9,25.39,1.7,68.0,0.0,0,16574.699999999997
195,27.0,27.22,1.8,70.0,0.0,0,16131.900000000001
196,27.0,26.87,2.0,70.0,0.0,0,17413.3
197,27.3,25.86,1.7,66.0,0.0,0,17724.2
198,27.7,24.77,1.9,61.0,0.0,0,17617.1
199,27.8,27.53,1.5,53.0,0.0,0,17680.899999999998
200,28.8,26.86,2.8,53.0,0.0,0,18030.0
201,28.9,20.49,3.2,52.0,0.0,0,17858.4
202,29.2,7.3,3.7,68.0,0.1,0,16864.8
203,29.9,26.4,2.3,59.0,0.0,0,18388.8
204,29.2,26.0,2.0,65.0,0.0,0,18571.999999999996
205,29.1,26.37,2.1,70.0,0.0,0,18834.3
206,29.1,23.3,2.2,69.0,0.0,0,18917.999999999996
207,29.3,25.96,2.5,58.0,0.0,0,18924.000000000004
208,29.1,25.3,2.3,72.0,0.0,0,18423.800000000003
209,29.4,23.88,2.5,72.0,0.0,0,17962.300000000003
210,28.9,22.33,3.5,70.0,0.0,0,18487.199999999997
211,28.7,22.46,2.5,64.0,0.0,0,18468.0
212,29.2,26.7,3.0,65.0,0.0,0,18874.8
213,29.0,18.54,4.0,63.0,0.0,0,19129.4
214,30.0,18.33,3.4,51.0,0.9,0,18724.399999999998
215,29.5,23.8,1.9,69.0,0.0,0,18375.0
216,29.9,26.7,2.5,68.0,0.0,0,17882.600000000002
217,30.1,24.94,2.4,63.0,0.0,0,19154.8
218,29.7,20.67,2.9,63.0,0.0,0,19210.400000000005
219,29.3,25.12,2.8,62.0,0.0,0,19054.199999999997
220,29.6,22.29,2.3,59.0,0.0,0,19431.899999999998
221,29.9,22.52,2.5,63.0,0.0,0,19347.9
222,28.8,18.75,3.7,62.0,0.0,0,18298.400000000005
223,29.8,18.1,3.2,60.0,41.1,0,17832.200000000004
